iter	Accuracy	Logloss
301	0.6886640143	0.5665935324
302	0.6888369948	0.566337324
303	0.6890388053	0.5661479977
304	0.6889811451	0.5660530959
305	0.6894712564	0.5655712394
306	0.6894424263	0.5655549666
307	0.6898460474	0.5654821655
308	0.6900190278	0.5652758753
309	0.6898748775	0.5652542004
310	0.6897595572	0.5651557029
311	0.6899901978	0.5647697098
312	0.6901055181	0.5647416293
313	0.6906244594	0.5646712838
314	0.6907974399	0.5646082592
315	0.6907974399	0.5642126337
316	0.6907974399	0.5638659831
317	0.6911722309	0.563573683
318	0.6912010609	0.5631224625
319	0.6913452113	0.5630982247
320	0.6914605316	0.5630670332
321	0.6917200023	0.5630212677
322	0.6915470219	0.5629447436
323	0.6922389437	0.5625196066
324	0.6924119241	0.5624706381
325	0.6924695843	0.5623340499
326	0.6926137346	0.5622621895
327	0.6927867151	0.5622124428
328	0.6932768264	0.5618567138
329	0.6935939572	0.5616878819
330	0.693911088	0.5614599238
331	0.6941128986	0.5613658055
332	0.6941417287	0.5611284987
333	0.6943147091	0.5609446234
334	0.6941993888	0.5608922155
335	0.694285879	0.560887524
336	0.6939687482	0.5608156531
337	0.6940264083	0.560753516
338	0.6941128986	0.5607055933
339	0.6945165196	0.5606413301
340	0.6944300294	0.5601947721
341	0.6943435392	0.5601633062
342	0.6945165196	0.5600068537
343	0.6945741798	0.5595333282
344	0.6945741798	0.5591358171
345	0.6944300294	0.558936245
346	0.6946895001	0.5588499256
347	0.6948624805	0.5587574524
348	0.6948336505	0.5586824242
349	0.6948624805	0.5585458624
350	0.6951219512	0.5584559558
351	0.6952661016	0.5583887622
352	0.6953525918	0.5582168191
353	0.6954390821	0.5581707563
354	0.6950642911	0.5578584647
355	0.6952084414	0.5577778053
356	0.6952661016	0.5576912015
357	0.6953237617	0.5575393729
358	0.6952372715	0.5572829678
359	0.6959868535	0.5567775193
360	0.6958427031	0.5567476349
361	0.6964481347	0.5566971493
362	0.6962463242	0.5565606098
363	0.6964769648	0.5565446491
364	0.6964769648	0.5565224311
365	0.6964193046	0.5565070762
366	0.6964769648	0.5563677567
367	0.6964769648	0.5563263455
368	0.6965346249	0.5563118768
369	0.6966499452	0.5561496358
370	0.6968805858	0.5559969053
371	0.6969094159	0.5557605228
372	0.6969670761	0.5556871133
373	0.6971977167	0.5556543505
374	0.6972842069	0.5555988503
375	0.6971977167	0.5554083745
376	0.697341867	0.5553804797
377	0.697341867	0.555334039
378	0.6977743182	0.5550712801
379	0.6977743182	0.5550568865
380	0.6980049588	0.5549154872
381	0.6984374099	0.5544789617
382	0.6983220896	0.5543662709
383	0.6984374099	0.554336465
384	0.69846624	0.554073748
385	0.6984085798	0.5539608445
386	0.6983797498	0.553942991
387	0.6983509197	0.5537754147
388	0.6985815603	0.553583937
389	0.69846624	0.5535177367
390	0.6985815603	0.5534133966
391	0.6986392204	0.5533830942
392	0.6986680505	0.5530800905
393	0.6988122009	0.553026158
394	0.6988986911	0.5529918465
395	0.6990428415	0.5528239161
396	0.6990428415	0.5527105724
397	0.6991005016	0.5526335357
398	0.6992734821	0.5525465747
399	0.6994176325	0.5523792714
400	0.6993599723	0.5523653221
401	0.6993023122	0.5523330409
402	0.6995329528	0.5523160541
403	0.699619443	0.5522995567
404	0.6998212535	0.5522865914
405	0.6998212535	0.5521558552
406	0.6999077438	0.5521027539
407	0.6998789137	0.5520228329
408	0.7001095543	0.5519928171
409	0.7000518941	0.5519789969
410	0.7001960445	0.5516352546
411	0.7002537047	0.5515578873
412	0.7006573257	0.5514769426
413	0.7008303062	0.5512275949
414	0.7008879663	0.5511663081
415	0.7006573257	0.551134147
416	0.700772646	0.5509447118
417	0.7010897769	0.5506839038
418	0.701147437	0.550642508
419	0.7010897769	0.550620689
420	0.701147437	0.5506048689
421	0.7014933979	0.5505704205
422	0.7014645678	0.5505417423
423	0.7015798881	0.5504578616
424	0.7016087182	0.550454208
425	0.7014933979	0.5503297442
426	0.701522228	0.5501764251
427	0.7016375483	0.5501398401
428	0.7016663784	0.5501354922
429	0.7020123393	0.5497802696
430	0.7021276596	0.5497523861
431	0.7022141498	0.5496814238
432	0.7021564897	0.5496562601
433	0.70230064	0.5496517634
434	0.7023294701	0.5495731194
435	0.7024159603	0.5494498866
436	0.7027042611	0.5493884358
437	0.7028484115	0.549302255
438	0.7030213919	0.5491519618
439	0.7029060716	0.5490016643
440	0.7030213919	0.5489711509
441	0.7030213919	0.5488110677
442	0.703050222	0.5487871918
443	0.7031367122	0.5487363976
444	0.7030790521	0.5486895676
445	0.703050222	0.5483507144
446	0.7031078821	0.548287887
447	0.7031078821	0.5482485217
448	0.7031078821	0.5482335943
449	0.7030790521	0.5481729327
450	0.7033096927	0.5481193188
451	0.7032232024	0.547947181
452	0.7033385227	0.5479295529
453	0.7032232024	0.5475408133
454	0.7032808626	0.547527755
455	0.7033096927	0.5472089327
456	0.7033673528	0.5471719627
457	0.7033096927	0.5471372125
458	0.7035691634	0.5468510694
459	0.7035979934	0.5467708098
460	0.7040304446	0.5466325804
461	0.7039151243	0.5466089616
462	0.7040304446	0.5465521196
463	0.7041457649	0.546517889
464	0.7041169348	0.5464905091
465	0.7041169348	0.5464229904
466	0.7041457649	0.5464102174
467	0.7040304446	0.5462990296
468	0.7041457649	0.5462655013
469	0.704203425	0.5461960281
470	0.7041457649	0.5461823186
471	0.7043475754	0.5460356084
472	0.7044917258	0.5459798461
473	0.7044917258	0.5459676227
474	0.7044340656	0.5456964248
475	0.7047800265	0.5456397808
476	0.7047223664	0.545537801
477	0.7048665168	0.5455186543
478	0.7047223664	0.5454928051
479	0.7047800265	0.5454885512
480	0.7047223664	0.5454658941
481	0.7047800265	0.5454489563
482	0.7047800265	0.5453441945
483	0.7048665168	0.5452897197
484	0.7050106671	0.545245078
485	0.7048953468	0.5452166788
486	0.704953007	0.545161168
487	0.7049818371	0.5451464223
488	0.7048953468	0.5451315071
489	0.7052124777	0.5450490113
490	0.7052124777	0.545026055
491	0.7055007784	0.5449910878
492	0.7055007784	0.5448681381
493	0.7055584386	0.5448553488
494	0.7056737589	0.5447986263
495	0.7056160987	0.544755531
496	0.7062215303	0.5442130346
497	0.7062503604	0.5441940572
498	0.7063368506	0.5441182918
499	0.7063368506	0.5441031365
500	0.7064233408	0.5440927574
501	0.7063656807	0.5440621402
502	0.7064233408	0.5440347346
503	0.7065098311	0.5438380614
504	0.7065386611	0.5438270481
505	0.7064521709	0.5438134933
506	0.7064233408	0.5437794433
507	0.7065674912	0.5437604393
508	0.706884622	0.5435384294
509	0.7069134521	0.5435092602
510	0.7069999423	0.5433051833
511	0.7070287724	0.5431185845
512	0.7069422822	0.5430670013
513	0.7070864326	0.5429922146
514	0.7070864326	0.5429723406
515	0.7070287724	0.542963062
516	0.7070576025	0.5428265675
517	0.7069999423	0.5428205825
518	0.7069134521	0.5427833747
519	0.7069999423	0.5427754075
520	0.7067981318	0.542595143
521	0.7069134521	0.542502407
522	0.7070287724	0.5424789573
523	0.7070287724	0.5423302639
524	0.7074035634	0.5422634628
525	0.7073747333	0.542248191
526	0.7074323935	0.54219261
527	0.7073747333	0.5421683681
528	0.7073170732	0.5421371376
529	0.7074612235	0.541884138
530	0.7073459032	0.5418192538
531	0.7074612235	0.5418071395
532	0.707634204	0.5417500167
533	0.7075188837	0.5416974906
534	0.7076918642	0.5416510841
535	0.7076053739	0.5415841634
536	0.7076918642	0.5415708795
537	0.7076053739	0.5415123215
538	0.7076630341	0.5414857891
539	0.7077206942	0.5414474659
540	0.7078071845	0.5414141547
541	0.7077495243	0.5414067879
542	0.7076918642	0.541274723
543	0.7081243153	0.5412261047
544	0.7081819754	0.541071965
545	0.7082396356	0.5410545378
546	0.7082396356	0.541050261
547	0.7082684657	0.5409202027
548	0.7087009168	0.5408683427
549	0.708787407	0.5408386908
550	0.7088162371	0.5407427837
551	0.7090468777	0.5407244927
552	0.7089892176	0.5406327646
553	0.7090757078	0.5404420661
554	0.7092198582	0.5404272627
555	0.7091910281	0.5403989391
556	0.7089603875	0.5403844396
557	0.7089603875	0.5403637416
558	0.7090180476	0.5402726209
559	0.7089892176	0.5402227752
560	0.7090468777	0.5401829059
561	0.7090757078	0.5400475041
562	0.7090180476	0.5398540084
563	0.7089603875	0.5397557666
564	0.7090757078	0.5397037961
565	0.709162198	0.5396748025
566	0.7091910281	0.5396709286
567	0.709162198	0.5396060212
568	0.7093351785	0.5395742687
569	0.7092198582	0.5393891685
570	0.7095081589	0.5393145448
571	0.7095081589	0.5391169068
572	0.7095658191	0.538691536
573	0.7096234792	0.5386000458
574	0.7096523093	0.538592322
575	0.7097387995	0.5385044909
576	0.7097099694	0.5384970328
577	0.7100847604	0.5383306328
578	0.7100271003	0.5382325009
579	0.70994061	0.5380787659
580	0.7099982702	0.5380680842
581	0.7100271003	0.5380386144
582	0.70994061	0.5379840386
583	0.7099694401	0.5378507981
584	0.7098252897	0.5378284083
585	0.7097099694	0.5377808708
586	0.7099982702	0.5377024406
587	0.70994061	0.5376816485
588	0.7100271003	0.5375980565
589	0.7099982702	0.5374772929
590	0.7099982702	0.5374614787
591	0.7098829499	0.5373475336
592	0.7098541198	0.537219685
593	0.7099694401	0.537152362
594	0.7100847604	0.5371166166
595	0.7101135905	0.5370885067
596	0.7101424206	0.5369732907
597	0.7101135905	0.5369530028
598	0.7100559303	0.5369183586
599	0.710286571	0.5368761814
