Model,Accuracy,AUC,Sensitivity (Recall),Specificity,Precision
Logistic Regression,0.6414,0.5723,0.9856,0.0215,0.6446
Random Forest,0.5723,0.5716,0.6293,0.4697,0.6812
Artificial Neural Network,0.643,0.4336,1.0,0.0,0.643
XGBoost,0.6196,0.5391,0.8766,0.1568,0.6519
Hybrid (RF+ANN->XGB) [Threshold 0.6],0.6139396935244686,0.5648330931372167,0.8054968287526427,0.268951194184839,0.6649214659685864
Proposed (RF+ANN+LGBM->CatBoost) [Threshold 0.65],0.5462184873949579,0.5752491090856269,0.5412262156448203,0.5552094150224991,0.686661789807364
Proposed Ensembled + SMOTE [Threshold 0.65],0.5350963914977755,0.5731364743042047,0.4950989813569095,0.6071304949809623,0.694152519536513
