Model,Accuracy,AUC,Sensitivity,Specificity,Gain
Baseline (RF+ANN→XGB),99.53%,0.9946,98.92%,100.00%,-
Improved (RF+ANN+LGB→CAT),100.00%,1.0000,100.00%,100.00%,+0.47%
